frame,time_s,raw_yaw_deg,raw_pitch_deg,raw_screen_x,raw_screen_y,filtered_x,filtered_y,final_x,final_y,speed,locked,ear_avg,blink_click,fwd_x,fwd_y,fwd_z
162,9.7191,185.7171,184.0103,1645.9,431.3,1671.3,417.4,1671.3,417.4,46.32,0,0.3024,0,0.099375,0.069590,0.992614
163,9.7668,186.5344,183.2427,1698.2,486.5,1681.3,471.9,1681.3,471.9,55.35,0,0.2987,0,0.113620,0.056199,0.991934
164,9.8137,186.6707,183.6176,1706.9,459.5,1692.8,462.9,1692.8,462.9,14.57,0,0.3003,0,0.115934,0.062671,0.991278
165,9.8625,186.6856,183.6141,1707.9,459.8,1699.8,460.8,1699.8,460.8,7.32,0,0.3015,0,0.116192,0.062609,0.991252
166,9.9097,186.5320,184.0083,1698.0,431.4,1699.1,445.3,1699.1,445.3,15.52,0,0.3032,0,0.113483,0.069449,0.991110
167,9.9571,186.8769,185.7214,1720.1,308.1,1708.4,372.8,1708.4,372.8,73.05,0,0.2981,0,0.119149,0.098981,0.987930
168,10.0075,187.0079,187.1468,1728.5,205.4,1718.1,243.2,1718.1,243.2,130.01,0,0.2973,0,0.121072,0.123496,0.984932
169,10.0570,187.1698,188.5520,1738.9,104.3,1728.6,128.9,1728.6,128.9,114.80,0,0.2963,0,0.123443,0.147569,0.981318
170,10.1049,187.3099,190.6827,1747.8,-49.2,1738.4,-23.9,1738.4,10.0,119.27,0,0.2974,0,0.125065,0.183915,0.974953
171,10.1526,187.7059,192.8316,1773.2,-203.9,1758.0,-182.0,1758.0,10.0,19.65,0,0.2979,0,0.130797,0.220178,0.966651
172,10.1996,187.2377,195.4053,1743.2,-389.2,1751.5,-367.3,1751.5,10.0,6.46,0,0.3003,0,0.121527,0.263677,0.956925
173,10.2479,186.9181,194.7041,1722.8,-338.7,1747.0,-342.6,1747.0,10.0,4.60,0,0.3023,0,0.116560,0.252097,0.960656
174,10.2955,187.7601,199.6698,1776.6,-696.2,1757.8,-663.7,1757.8,10.0,10.83,0,0.3047,0,0.127278,0.333861,0.933990
175,10.3426,187.9090,200.7187,1786.2,-771.7,1770.8,-761.0,1770.8,10.0,13.01,0,0.2907,0,0.128853,0.350831,0.927531
176,10.3894,188.0597,203.4291,1795.8,-966.9,1783.3,-948.0,1783.3,10.0,12.55,0,0.3016,0,0.128845,0.394299,0.909905
177,10.4355,187.6758,202.3855,1771.3,-891.8,1778.8,-899.0,1778.8,10.0,4.53,0,0.2890,0,0.123662,0.377913,0.917545
178,10.4823,187.4038,203.8946,1753.8,-1000.4,1776.3,-987.4,1776.3,10.0,2.54,0,0.2811,0,0.117978,0.402227,0.907907
